"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q96RI0","PAR4_HUMAN","Proteinase-activated receptor 4 (PAR-4) (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3)","GPCR","F2RL3","AD/BAT/GAT/HRT/KID/LUN/MAT/SKN/SPL/THM"
"O14842","FFAR1_HUMAN","Free fatty acid receptor 1 (G-protein coupled receptor 40)","GPCR","FFAR1",""
"O15552","FFAR2_HUMAN","Free fatty acid receptor 2 (G-protein coupled receptor 43)","GPCR","FFAR2","AD/GAT/MAT/SCAT/SKN/SIT/SPL/THM"
"O14843","FFAR3_HUMAN","Free fatty acid receptor 3 (G-protein coupled receptor 41)","GPCR","FFAR3",""
"Q5NUL3","FFAR4_HUMAN","Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor 129) (G-protein coupled receptor GT01) (G-protein coupled receptor PGR4) (Omega-3 fatty acid receptor 1)","GPCR","FFAR4","GAT/LUN/THM"
"P21462","FPR1_HUMAN","N-formyl peptide receptor 1 (N-formylpeptide chemoattractant receptor) (fMet-Leu-Phe receptor) (fMLP receptor)","GPCR","FPR1","LIV/LUN/SKN/SIT/SPL/THM"
"P25090","FPR2_HUMAN","N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (ALX) (LXA4 receptor) (RFP)","GPCR","FPR2","LIV/LUN/SKN/SPL"
"P23945","FSHR_HUMAN","Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)","GPCR","FSHR",""
"Q9UP38","FZD1_HUMAN","Frizzled-1 (Fz-1) (hFz1) (FzE1)","GPCR","FZD1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9ULW2","FZD10_HUMAN","Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350)","GPCR","FZD10","SKN/THM"
"Q14332","FZD2_HUMAN","Frizzled-2 (Fz-2) (hFz2) (FzE2)","GPCR","FZD2","AD/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NPG1","FZD3_HUMAN","Frizzled-3 (Fz-3) (hFz3)","GPCR","FZD3","BRN/EYE/GAT/KID/LUN/PCR/PRS/SKN/STM/UB"
"Q9ULV1","FZD4_HUMAN","Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344)","GPCR","FZD4","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q13467","FZD5_HUMAN","Frizzled-5 (Fz-5) (hFz5) (FzE5)","GPCR","FZD5","AD/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"O60353","FZD6_HUMAN","Frizzled-6 (Fz-6) (hFz6)","GPCR","FZD6","AD/BAT/EYE/GAT/KID/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O75084","FZD7_HUMAN","Frizzled-7 (Fz-7) (hFz7) (FzE3)","GPCR","FZD7","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9H461","FZD8_HUMAN","Frizzled-8 (Fz-8) (hFz8)","GPCR","FZD8","AD/EYE/KID/LUN/SCAT/SIT/SPL/THM/UB"
"O00144","FZD9_HUMAN","Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)","GPCR","FZD9","BRN/SKN/SIT/TES"
"Q9UBS5","GABR1_HUMAN","Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)","GPCR","GABBR1","AD/BRN/EYE/PRS/SKN/SIT/SPL/STM/UB"
"O75899","GABR2_HUMAN","Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)","GPCR","GABBR2","AD/BAT/BRN/EYE/SKN/SPL"
"P47211","GALR1_HUMAN","Galanin receptor type 1 (GAL1-R) (GALR-1)","GPCR","GALR1",""
"O43603","GALR2_HUMAN","Galanin receptor type 2 (GAL2-R) (GALR-2)","GPCR","GALR2","MAT/SIT/THM"
"P47871","GLR_HUMAN","Glucagon receptor (GL-R)","GPCR","GCGR","KID/LIV"
"Q02643","GHRHR_HUMAN","Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR)","GPCR","GHRHR",""
"Q92847","GHSR_HUMAN","Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)","GPCR","GHSR",""
"P48546","GIPR_HUMAN","Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)","GPCR","GIPR",""
"P43220","GLP1R_HUMAN","Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R)","GPCR","GLP1R","BRN/LUN/PCR/SIT/STM"
"O95838","GLP2R_HUMAN","Glucagon-like peptide 2 receptor (GLP-2 receptor) (GLP-2-R) (GLP-2R)","GPCR","GLP2R",""
"P30968","GNRHR_HUMAN","Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)","GPCR","GNRHR",""
"Q8TDU6","GPBAR_HUMAN","G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (hGPCR19) (Membrane-type receptor for bile acids) (M-BAR) (hBG37) (BG37)","GPCR","GPBAR1",""
"Q99527","GPER1_HUMAN","G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G-protein coupled receptor 1) (FEG-1) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G-protein coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER)","GPCR","GPER1",""
"Q96P66","GP101_HUMAN","Probable G-protein coupled receptor 101","GPCR","GPR101","BRN/LIV/UB"
"Q8TDV5","GP119_HUMAN","Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)","GPCR","GPR119",""
"P47775","GPR12_HUMAN","G-protein coupled receptor 12","GPCR","GPR12",""
"Q8IZ08","GP135_HUMAN","G-protein coupled receptor 135","GPCR","GPR135",""
"Q7Z602","GP141_HUMAN","Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13)","GPCR","GPR141","SKN/SPL/THM"
"P51810","GP143_HUMAN","G-protein coupled receptor 143 (Ocular albinism type 1 protein)","GPCR","GPR143","EYE"
"Q96CH1","GP146_HUMAN","G-protein coupled receptor 146 (G-protein coupled receptor PGR8)","GPCR","GPR146","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/SCAT/SPL"
"Q86SP6","GP149_HUMAN","Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10)","GPCR","GPR149","BRN/EYE"
"P49685","GPR15_HUMAN","G-protein coupled receptor 15 (Brother of Bonzo) (BoB)","GPCR","GPR15",""
"Q8NGU9","GP150_HUMAN","Probable G-protein coupled receptor 150","GPCR","GPR150",""
"Q8TDV0","GP151_HUMAN","G-protein coupled receptor 151 (G-protein coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein) (GalRL)","GPCR","GPR151","BRN/SIT"
"Q8TDT2","GP152_HUMAN","Probable G-protein coupled receptor 152 (G-protein coupled receptor PGR5)","GPCR","GPR152",""
"Q8NFN8","GP156_HUMAN","Probable G-protein coupled receptor 156 (G-protein coupled receptor PGR28) (GABAB-related G-protein coupled receptor)","GPCR","GPR156",""
"Q5UAW9","GP157_HUMAN","G-protein coupled receptor 157","GPCR","GPR157","BAT/GAT/HRT/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/TES/THM/TON"
"Q5T848","MGLYR_HUMAN","Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158)","GPCR","GPR158","AD/BRN/EYE/PCR/TON"
"Q9UJ42","GP160_HUMAN","Probable G-protein coupled receptor 160 (G-protein coupled receptor GPCR1) (hGPCR1)","GPCR","GPR160","AD/EYE/GAT/LUN/MAT/PCR/SKN/SIT/STM/TES/THM/UB"
"Q8N6U8","GP161_HUMAN","G-protein coupled receptor 161 (G-protein coupled receptor RE2)","GPCR","GPR161","BRN/EYE/PRS/SKN/SPL/TES/THM/UB"
"Q13304","GPR17_HUMAN","Uracil nucleotide/cysteinyl leukotriene receptor (UDP/CysLT receptor) (G-protein coupled receptor 17) (P2Y-like receptor) (R12)","GPCR","GPR17","BRN"
"O14626","GP171_HUMAN","G-protein coupled receptor 171 (G-protein coupled receptor H963)","GPCR","GPR171","LUN/MAT/SCAT/SKN/SIT/SPL/THM"
"Q9NS66","GP173_HUMAN","Probable G-protein coupled receptor 173 (Super conserved receptor expressed in brain 3)","GPCR","GPR173",""
"Q9BXC1","GP174_HUMAN","Probable G-protein coupled receptor 174","GPCR","GPR174","MAT/SCAT/SPL/THM"
"Q14439","GP176_HUMAN","G-protein coupled receptor 176 (HB-954)","GPCR","GPR176","AD/BRN/EYE/MAT/SPL"
"Q6PRD1","GP179_HUMAN","Probable G-protein coupled receptor 179 (Probable G-protein coupled receptor 158-like 1) (GPR158-like)","GPCR","GPR179",""
"Q14330","GPR18_HUMAN","N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18)","GPCR","GPR18","LUN/MAT/SCAT/SKN/SIT/SPL/THM"
"P32249","GP183_HUMAN","G-protein coupled receptor 183 (Epstein-Barr virus-induced G-protein coupled receptor 2) (EBI2) (EBV-induced G-protein coupled receptor 2) (hEBI2)","GPCR","GPR183","AD/BAT/BRN/GAT/LUN/MAT/SCAT/SKN/SIT/SPL/STM/THM"
"Q15760","GPR19_HUMAN","Probable G-protein coupled receptor 19 (GPR-NGA)","GPCR","GPR19","BRN/EYE"
"Q99678","GPR20_HUMAN","G-protein coupled receptor 20","GPCR","GPR20","MAT/SIT/STM/TES/UB"
"Q99679","GPR21_HUMAN","Probable G-protein coupled receptor 21","GPCR","GPR21",""
"O00155","GPR25_HUMAN","C-X-C chemokine receptor GPR25 (G-protein coupled receptor 25)","GPCR","GPR25","THM"
"Q8NDV2","GPR26_HUMAN","G-protein coupled receptor 26","GPCR","GPR26","BRN/EYE"
"Q9NS67","GPR27_HUMAN","Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1)","GPCR","GPR27",""
"P46089","GPR3_HUMAN","G-protein coupled receptor 3 (ACCA orphan receptor)","GPCR","GPR3",""
"Q9UPC5","GPR34_HUMAN","Probable G-protein coupled receptor 34","GPCR","GPR34","BRN/LUN/MAT/SCAT/SKN/SPL/THM"
"Q9HC97","GPR35_HUMAN","G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor)","GPCR","GPR35","BAT/MAT/SCAT/SKN/SPL/THM"
"O15354","GPR37_HUMAN","Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)","GPCR","GPR37","BRN/EYE/KID/PRS/SKN/SIT/STM/TES"
"O60883","G37L1_HUMAN","G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)","GPCR","GPR37L1","AD/BAT/BRN/EYE/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/UB"
"O43194","GPR39_HUMAN","G-protein coupled receptor 39","GPCR","GPR39","AD/BAT/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"P46093","GPR4_HUMAN","G-protein coupled receptor 4 (hGPR4) (G-protein coupled receptor 6C.l) (GPR6C.l)","GPCR","GPR4",""
"O15529","GPR42_HUMAN","G-protein coupled receptor 42","GPCR","GPR42",""
"Q9Y5Y3","GPR45_HUMAN","Probable G-protein coupled receptor 45 (PSP24-1) (PSP24-alpha)","GPCR","GPR45",""
"Q13585","MTR1L_HUMAN","Melatonin-related receptor (G protein-coupled receptor 50) (H9) [Cleaved into: C-terminal domain]","GPCR","GPR50","BRN/EYE/GAT/MAT/SPL/TES/THM"
"Q9Y2T5","GPR52_HUMAN","G-protein coupled receptor 52","GPCR","GPR52","BRN"
"Q9Y2T6","GPR55_HUMAN","G-protein coupled receptor 55","GPCR","GPR55","AD/MAT/SIT/SPL/TES/THM"
"P46095","GPR6_HUMAN","G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)","GPCR","GPR6",""
"Q9BZJ8","GPR61_HUMAN","G-protein coupled receptor 61 (Biogenic amine receptor-like G-protein coupled receptor)","GPCR","GPR61",""
"Q9BZJ7","GPR62_HUMAN","G-protein coupled receptor 62 (G-protein coupled receptor GPCR8) (hGPCR8) (G-protein coupled receptor KPG_005)","GPCR","GPR62",""
"Q9BZJ6","GPR63_HUMAN","Probable G-protein coupled receptor 63 (PSP24-2) (PSP24-beta)","GPCR","GPR63","BRN/THM"
"Q15743","GPR68_HUMAN","G-protein coupled receptor 68 (G-protein coupled receptor 12A) (GPR12A) (Ovarian cancer G-protein coupled receptor 1) (OGR-1)","GPCR","GPR68","AD/BRN/EYE/GAT/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q96P69","GPR78_HUMAN","G-protein coupled receptor 78","GPCR","GPR78",""
"Q9NYM4","GPR83_HUMAN","G-protein coupled receptor 83 (G-protein coupled receptor 72)","GPCR","GPR83",""
"Q9NQS5","GPR84_HUMAN","G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33)","GPCR","GPR84","BRN/LUN/SPL/TES"
"P60893","GPR85_HUMAN","Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2)","GPCR","GPR85",""
"Q9BY21","GPR87_HUMAN","G-protein coupled receptor 87 (G-protein coupled receptor 95)","GPCR","GPR87","SKN/THM/UB"
"Q9GZN0","GPR88_HUMAN","G protein-coupled receptor 88 (Striatum-specific G-protein coupled receptor)","GPCR","GPR88","BRN/KID/TON"
"Q8NFJ5","RAI3_HUMAN","Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)","GPCR","GPRC5A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NZH0","GPC5B_HUMAN","G-protein coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2)","GPCR","GPRC5B","AD/BAT/BRN/EYE/GAT/HRT/KID/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NQ84","GPC5C_HUMAN","G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3)","GPCR","GPRC5C","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SPL/STM/TES/THM/TON/UB"
"Q9NZD1","GPC5D_HUMAN","G-protein coupled receptor family C group 5 member D","GPCR","GPRC5D","SKN"
"Q13255","GRM1_HUMAN","Metabotropic glutamate receptor 1 (mGluR1)","GPCR","GRM1","AD/BRN/EYE/HRT/LUN/SKN/STM/TES/THM/UB"
"Q14416","GRM2_HUMAN","Metabotropic glutamate receptor 2 (mGluR2)","GPCR","GRM2","BRN/EYE/PRS/SCAT/SPL"
"Q14832","GRM3_HUMAN","Metabotropic glutamate receptor 3 (mGluR3)","GPCR","GRM3","BRN/EYE/KID/LUN/SPL"
"Q14833","GRM4_HUMAN","Metabotropic glutamate receptor 4 (mGluR4)","GPCR","GRM4","BRN/EYE"
"P41594","GRM5_HUMAN","Metabotropic glutamate receptor 5 (mGluR5)","GPCR","GRM5","BAT/BRN/EYE/HRT/KID/SIT/SPL/STM"
"O15303","GRM6_HUMAN","Metabotropic glutamate receptor 6 (mGluR6)","GPCR","GRM6","AD/BAT/EYE/GAT/KID/LIV/MAT/SKM/THM"
"Q14831","GRM7_HUMAN","Metabotropic glutamate receptor 7 (mGluR7)","GPCR","GRM7","AD/BRN/EYE/KID/PCR/PRS/SIT/STM/TES/TON"
"O00222","GRM8_HUMAN","Metabotropic glutamate receptor 8 (mGluR8)","GPCR","GRM8","AD/BRN/EYE/KID/LIV/PRS/SCAT/SKN/SIT/TES/THM/UB"
"P30550","GRPR_HUMAN","Gastrin-releasing peptide receptor (GRP-R) (GRP-preferring bombesin receptor)","GPCR","GRPR","AD/BRN/PCR/SIT/SPL/STM"
"Q9BXC0","HCAR1_HUMAN","Hydroxycarboxylic acid receptor 1 (G-protein coupled receptor 104) (G-protein coupled receptor 81)","GPCR","HCAR1","AD/BAT/EYE/GAT/KID/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q8TDS4","HCAR2_HUMAN","Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor)","GPCR","HCAR2","AD/BAT/GAT/LUN/MAT/PRS/SCAT/SKN/SPL/STM/THM/TON/UB"
"P49019","HCAR3_HUMAN","Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2)","GPCR","HCAR3",""
"O43613","OX1R_HUMAN","Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R)","GPCR","HCRTR1",""
"O43614","OX2R_HUMAN","Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)","GPCR","HCRTR2",""
"P35367","HRH1_HUMAN","Histamine H1 receptor (H1-R) (H1R) (HH1R)","GPCR","HRH1","AD/BAT/BRN/GAT/HRT/MAT/SCAT/SKN/SIT/SPL/THM/TON/UB"
"P25021","HRH2_HUMAN","Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)","GPCR","HRH2",""
"Q9Y5N1","HRH3_HUMAN","Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97)","GPCR","HRH3","BRN/EYE"
"Q9H3N8","HRH4_HUMAN","Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144)","GPCR","HRH4",""
"P08908","5HT1A_HUMAN","5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)","GPCR","HTR1A","BRN"
"P28222","5HT1B_HUMAN","5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)","GPCR","HTR1B","BRN"
"P28221","5HT1D_HUMAN","5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)","GPCR","HTR1D",""
"P30939","5HT1F_HUMAN","5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F)","GPCR","HTR1F","BRN/MAT"
"P28223","5HT2A_HUMAN","5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)","GPCR","HTR2A","BRN/SCAT/SPL"
"P41595","5HT2B_HUMAN","5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)","GPCR","HTR2B",""
"P28335","5HT2C_HUMAN","5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)","GPCR","HTR2C","BRN/GAT/LUN/SKN"
"Q13639","5HT4R_HUMAN","5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)","GPCR","HTR4","BRN/UB"
"P47898","5HT5A_HUMAN","5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)","GPCR","HTR5A","BRN"
"P50406","5HT6R_HUMAN","5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)","GPCR","HTR6",""
"Q969F8","KISSR_HUMAN","KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor)","GPCR","KISS1R",""
"Q9BXB1","LGR4_HUMAN","Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48)","GPCR","LGR4","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O75473","LGR5_HUMAN","Leucine-rich repeat-containing G-protein coupled receptor 5 (G-protein coupled receptor 49) (G-protein coupled receptor 67) (G-protein coupled receptor HG38)","GPCR","LGR5","AD/BRN/EYE/PRS/SKN/SIT/STM/UB"
"Q9HBX8","LGR6_HUMAN","Leucine-rich repeat-containing G-protein coupled receptor 6","GPCR","LGR6","BAT/BRN/HRT/SKN"
"P22888","LSHR_HUMAN","Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R)","GPCR","LHCGR","BRN/SPL/TES"
"Q92633","LPAR1_HUMAN","Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2)","GPCR","LPAR1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9HBW0","LPAR2_HUMAN","Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)","GPCR","LPAR2","AD/EYE/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9UBY5","LPAR3_HUMAN","Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)","GPCR","LPAR3","EYE/GAT/HRT/KID/LUN/MAT/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q99677","LPAR4_HUMAN","Lysophosphatidic acid receptor 4 (LPA receptor 4) (LPA-4) (G-protein coupled receptor 23) (P2Y purinoceptor 9) (P2Y9) (P2Y5-like receptor) (Purinergic receptor 9)","GPCR","LPAR4","AD/BAT/GAT/LUN/MAT/PCR/PRS/SCAT/SKN/STM/THM/TON"
"Q9H1C0","LPAR5_HUMAN","Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93)","GPCR","LPAR5","LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"P43657","LPAR6_HUMAN","Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5) (RB intron encoded G-protein coupled receptor)","GPCR","LPAR6","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q15722","LT4R1_HUMAN","Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1) (Chemoattractant receptor-like 1) (G-protein coupled receptor 16) (P2Y purinoceptor 7) (P2Y7)","GPCR","LTB4R","AD/BAT/GAT/KID/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q9NPC1","LT4R2_HUMAN","Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2)","GPCR","LTB4R2","LIV/SKN/SIT/SPL/THM"
"P04201","MAS_HUMAN","Proto-oncogene Mas","GPCR","MAS1",""
"Q01726","MSHR_HUMAN","Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)","GPCR","MC1R",""
"Q01718","ACTHR_HUMAN","Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)","GPCR","MC2R","AD/GAT/MAT/SCAT"
"P41968","MC3R_HUMAN","Melanocortin receptor 3 (MC3-R)","GPCR","MC3R",""
"P32245","MC4R_HUMAN","Melanocortin receptor 4 (MC4-R)","GPCR","MC4R",""
"P33032","MC5R_HUMAN","Melanocortin receptor 5 (MC5-R) (MC-2)","GPCR","MC5R",""
"O43193","MTLR_HUMAN","Motilin receptor (G-protein coupled receptor 38)","GPCR","MLNR",""
"Q86SM8","MRGRE_HUMAN","Mas-related G-protein coupled receptor member E (G-protein coupled receptor 167)","GPCR","MRGPRE","AD/BRN/EYE/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q86SM5","MRGRG_HUMAN","Mas-related G-protein coupled receptor member G (G-protein coupled receptor 169)","GPCR","MRGPRG","EYE/SCAT/SKN/THM"
"Q96LB0","MRGX3_HUMAN","Mas-related G-protein coupled receptor member X3 (Sensory neuron-specific G-protein coupled receptor 1/2)","GPCR","MRGPRX3",""
"Q96LA9","MRGX4_HUMAN","Mas-related G-protein coupled receptor member X4 (Sensory neuron-specific G-protein coupled receptor 5/6)","GPCR","MRGPRX4",""
"P48039","MTR1A_HUMAN","Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)","GPCR","MTNR1A",""
"P49286","MTR1B_HUMAN","Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)","GPCR","MTNR1B",""
"P28336","NMBR_HUMAN","Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)","GPCR","NMBR","BRN/TES"
"Q9GZQ4","NMUR2_HUMAN","Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1)","GPCR","NMUR2",""
"P48145","NPBW1_HUMAN","Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7)","GPCR","NPBWR1",""
"Q9GZQ6","NPFF1_HUMAN","Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022)","GPCR","NPFFR1",""
"Q9Y5X5","NPFF2_HUMAN","Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)","GPCR","NPFFR2",""
"Q6W5P4","NPSR1_HUMAN","Neuropeptide S receptor (G-protein coupled receptor 154) (G-protein coupled receptor PGR14) (G-protein coupled receptor for asthma susceptibility)","GPCR","NPSR1",""
"P25929","NPY1R_HUMAN","Neuropeptide Y receptor type 1 (NPY1-R)","GPCR","NPY1R","BAT/BRN/KID/LUN/MAT/SCAT/SKN/SPL/THM/UB"
"P49146","NPY2R_HUMAN","Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor)","GPCR","NPY2R","AD/BRN/GAT/SKN"
"Q15761","NPY5R_HUMAN","Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor)","GPCR","NPY5R","BRN"
